,wordCount,label
1,811,acq
2,326,acq
3,141,acq
4,317,acq
5,233,acq
6,117,acq
7,183,acq
8,921,acq
9,106,acq
10,205,acq
11,26,acq
12,165,acq
13,114,acq
14,469,acq
15,35,acq
16,62,acq
17,79,acq
18,175,acq
19,44,acq
20,84,acq
21,114,acq
22,63,acq
23,999,acq
24,18,acq
25,343,acq
26,54,acq
27,55,acq
28,165,acq
29,18,acq
30,112,acq
31,42,acq
32,113,acq
33,710,acq
34,170,acq
35,115,acq
36,56,acq
37,106,acq
38,120,acq
39,492,acq
40,363,acq
41,133,acq
42,152,acq
43,103,acq
44,36,acq
45,144,acq
46,238,acq
47,53,acq
48,181,acq
49,65,acq
50,328,acq
51,299,acq
52,143,acq
53,773,acq
54,125,acq
55,322,acq
56,109,acq
57,65,acq
58,93,acq
59,145,acq
60,103,acq
61,36,acq
62,163,acq
63,34,acq
64,30,acq
65,118,acq
66,65,acq
67,309,acq
68,210,acq
69,97,acq
70,112,acq
71,54,acq
72,107,acq
73,106,acq
74,164,acq
75,112,acq
76,76,acq
77,56,acq
78,74,acq
79,75,acq
80,111,acq
81,149,acq
82,62,acq
83,123,acq
84,48,acq
85,42,acq
86,169,acq
87,159,acq
88,47,acq
89,58,acq
90,90,acq
91,248,acq
92,60,acq
93,75,acq
94,133,acq
95,70,acq
96,85,acq
97,196,acq
98,111,acq
99,76,acq
100,63,acq
101,80,acq
102,99,acq
103,73,acq
104,83,acq
105,26,acq
106,100,acq
107,123,acq
108,121,acq
109,142,acq
110,18,acq
111,61,acq
112,43,acq
113,125,acq
114,142,acq
115,536,acq
116,156,acq
117,134,acq
118,120,acq
119,210,acq
120,152,acq
121,731,acq
122,138,acq
123,478,acq
124,138,acq
125,78,acq
126,359,acq
127,536,acq
128,718,acq
129,26,acq
130,114,acq
131,175,acq
132,36,acq
133,74,acq
134,106,acq
135,277,acq
136,80,acq
137,30,acq
138,422,acq
139,116,acq
140,425,acq
141,179,acq
142,73,acq
143,129,acq
144,169,acq
145,188,acq
146,92,acq
147,71,acq
148,36,acq
149,128,acq
150,86,acq
151,128,acq
152,180,acq
153,321,acq
154,122,acq
155,111,acq
156,69,acq
157,62,acq
158,92,acq
159,101,acq
160,67,acq
161,61,acq
162,229,acq
163,85,acq
164,236,acq
165,98,acq
166,108,acq
167,74,acq
168,792,acq
169,77,acq
170,97,acq
171,86,acq
172,76,acq
173,154,acq
174,81,acq
175,116,acq
176,347,acq
177,56,acq
178,123,acq
179,125,acq
180,92,acq
181,81,acq
182,111,acq
183,131,acq
184,55,acq
185,280,acq
186,46,acq
187,88,acq
188,41,acq
189,70,acq
190,191,acq
191,815,acq
192,141,acq
193,116,acq
194,141,acq
195,65,acq
196,125,acq
197,76,acq
198,65,acq
199,130,acq
200,629,acq
201,97,acq
202,110,acq
203,265,acq
204,71,acq
205,68,acq
206,80,acq
207,432,acq
208,264,acq
209,122,acq
210,122,acq
211,111,acq
212,150,acq
213,51,acq
214,58,acq
215,85,acq
216,115,acq
217,224,acq
218,22,acq
219,183,acq
220,124,acq
221,171,acq
222,18,acq
223,28,acq
224,20,acq
225,181,acq
226,98,acq
227,22,acq
228,24,acq
229,306,acq
230,450,acq
231,165,acq
232,180,acq
233,45,acq
234,147,acq
235,20,acq
236,204,acq
237,92,acq
238,215,acq
239,93,acq
240,102,acq
241,26,acq
242,91,acq
243,406,acq
244,519,acq
245,138,acq
246,117,acq
247,107,acq
248,264,acq
249,97,acq
250,116,acq
251,110,acq
252,45,acq
253,107,acq
254,364,acq
255,114,acq
256,151,acq
257,77,acq
258,123,acq
259,78,acq
260,99,acq
261,48,acq
262,77,acq
263,41,acq
264,40,acq
265,53,acq
266,158,acq
267,18,acq
268,67,acq
269,75,acq
270,101,acq
271,978,acq
272,187,acq
273,84,acq
274,68,acq
275,123,acq
276,56,acq
277,128,acq
278,38,acq
279,61,acq
280,80,acq
281,75,acq
282,88,acq
283,63,acq
284,58,acq
285,573,acq
286,24,acq
287,209,acq
288,181,acq
289,157,acq
290,124,acq
291,247,acq
292,128,acq
293,173,acq
294,141,acq
295,121,acq
296,46,acq
297,24,acq
298,50,acq
299,114,acq
300,86,acq
301,413,acq
302,78,acq
303,76,acq
304,85,acq
305,49,acq
306,226,acq
307,652,acq
308,44,acq
309,406,acq
310,45,acq
311,71,acq
312,121,acq
313,704,acq
314,124,acq
315,122,acq
316,37,acq
317,118,acq
318,294,acq
319,492,acq
320,498,acq
321,222,acq
322,401,acq
323,227,acq
324,227,acq
325,256,acq
326,111,acq
327,113,acq
328,174,acq
329,123,acq
330,97,acq
331,125,acq
332,44,acq
333,144,acq
334,648,acq
335,207,acq
336,100,acq
337,209,acq
338,185,acq
339,62,acq
340,36,acq
341,93,acq
342,435,acq
343,291,acq
344,111,acq
345,82,acq
346,107,acq
347,81,acq
348,119,acq
349,595,acq
350,94,acq
351,157,acq
352,65,acq
353,139,acq
354,98,acq
355,77,acq
356,96,acq
357,235,acq
358,118,acq
359,222,acq
360,20,acq
361,74,acq
362,147,acq
363,92,acq
364,499,acq
365,142,acq
366,96,acq
367,566,acq
368,196,acq
369,122,acq
370,42,acq
371,69,acq
372,105,acq
373,270,acq
374,42,acq
375,360,acq
376,290,acq
377,320,acq
378,157,acq
379,233,acq
380,26,acq
381,107,acq
382,191,acq
383,180,acq
384,191,acq
385,79,acq
386,103,acq
387,107,acq
388,144,acq
389,62,acq
390,150,acq
391,32,acq
392,30,acq
393,51,acq
394,207,acq
395,145,acq
396,212,acq
397,126,acq
398,134,acq
399,95,acq
400,384,acq
401,93,acq
402,105,acq
403,117,acq
404,89,acq
405,160,acq
406,68,acq
407,16,acq
408,94,acq
409,64,acq
410,148,acq
411,57,acq
412,81,acq
413,71,acq
414,63,acq
415,110,acq
416,90,acq
417,123,acq
418,85,acq
419,708,acq
420,24,acq
421,132,acq
422,89,acq
423,207,acq
424,96,acq
425,94,acq
426,534,acq
427,132,acq
428,34,acq
429,343,acq
430,246,acq
431,71,acq
432,20,acq
433,203,acq
434,197,acq
435,64,acq
436,77,acq
437,190,acq
438,87,acq
439,69,acq
440,154,acq
441,20,acq
442,107,acq
443,16,acq
444,363,acq
445,249,acq
446,64,acq
447,66,acq
448,108,acq
449,144,acq
450,71,acq
451,122,acq
452,124,acq
453,16,acq
454,141,acq
455,120,acq
456,112,acq
457,75,acq
458,92,acq
459,81,acq
460,85,acq
461,26,acq
462,72,acq
463,144,acq
464,99,acq
465,94,acq
466,85,acq
467,228,acq
468,16,acq
469,22,acq
470,53,acq
471,99,acq
472,136,acq
473,127,acq
474,97,acq
475,231,acq
476,65,acq
477,123,acq
478,115,acq
479,85,acq
480,70,acq
481,32,acq
482,149,acq
483,267,acq
484,94,acq
485,94,acq
486,92,acq
487,81,acq
488,268,acq
489,920,acq
490,129,acq
491,73,acq
492,94,acq
493,98,acq
494,116,acq
495,56,acq
496,28,acq
497,52,acq
498,96,acq
499,79,acq
500,104,acq
501,89,acq
502,30,acq
503,221,acq
504,277,acq
505,43,acq
506,90,acq
507,26,acq
508,61,acq
509,67,acq
510,120,acq
511,72,acq
512,116,acq
513,83,acq
514,22,acq
515,300,acq
516,84,acq
517,442,acq
518,72,acq
519,98,acq
520,73,acq
521,106,acq
522,123,acq
523,30,acq
524,53,acq
525,352,acq
526,96,acq
527,24,acq
528,91,acq
529,50,acq
530,91,acq
531,258,acq
532,138,acq
533,111,acq
534,26,acq
535,343,acq
536,101,acq
537,536,acq
538,127,acq
539,61,acq
540,72,acq
541,239,acq
542,86,acq
543,108,acq
544,99,acq
545,108,acq
546,147,acq
547,139,acq
548,43,acq
549,71,acq
550,490,acq
551,75,acq
552,207,acq
553,174,acq
554,130,acq
555,83,acq
556,44,acq
557,46,acq
558,74,acq
559,91,acq
560,85,acq
561,32,acq
562,73,acq
563,121,acq
564,163,acq
565,70,acq
566,102,acq
567,16,acq
568,91,acq
569,67,acq
570,111,acq
571,37,acq
572,28,acq
573,541,acq
574,73,acq
575,26,acq
576,114,acq
577,217,acq
578,346,acq
579,175,acq
580,133,acq
581,109,acq
582,74,acq
583,30,acq
584,386,acq
585,69,acq
586,118,acq
587,128,acq
588,119,acq
589,114,acq
590,125,acq
591,201,acq
592,127,acq
593,123,acq
594,90,acq
595,16,acq
596,71,acq
597,256,acq
598,28,acq
599,100,acq
600,18,acq
601,220,acq
602,93,acq
603,48,acq
604,127,acq
605,183,acq
606,270,acq
607,123,acq
608,98,acq
609,111,acq
610,97,acq
611,110,acq
612,130,acq
613,98,acq
614,37,acq
615,51,acq
616,165,acq
617,96,acq
618,117,acq
619,96,acq
620,126,acq
621,276,acq
622,109,acq
623,74,acq
624,560,acq
625,28,acq
626,36,acq
627,121,acq
628,112,acq
629,77,acq
630,126,acq
631,236,acq
632,223,acq
633,122,acq
634,62,acq
635,77,acq
636,111,acq
637,98,acq
638,30,acq
639,149,acq
640,118,acq
641,34,acq
642,116,acq
643,77,acq
644,164,acq
645,34,acq
646,81,acq
647,26,acq
648,85,acq
649,127,acq
650,132,acq
651,54,acq
652,186,acq
653,82,acq
654,228,acq
655,101,acq
656,127,acq
657,24,acq
658,131,acq
659,18,acq
660,28,acq
661,155,acq
662,105,acq
663,137,acq
664,315,acq
665,10,acq
666,75,acq
667,113,acq
668,114,acq
669,52,acq
670,51,acq
671,86,acq
672,85,acq
673,237,acq
674,221,acq
675,132,acq
676,26,acq
677,436,acq
678,56,acq
679,159,acq
680,83,acq
681,30,acq
682,252,acq
683,109,acq
684,70,acq
685,74,acq
686,80,acq
687,38,acq
688,121,acq
689,217,acq
690,261,acq
691,294,acq
692,97,acq
693,24,acq
694,293,acq
695,256,acq
696,58,acq
697,103,acq
698,99,acq
699,118,acq
700,227,acq
701,177,acq
702,24,acq
703,148,acq
704,91,acq
705,92,acq
706,36,acq
707,30,acq
708,83,acq
709,28,acq
710,89,acq
711,88,acq
712,235,acq
713,220,acq
714,18,acq
715,149,acq
716,81,acq
717,225,acq
718,30,acq
719,249,acq
720,259,acq
721,155,acq
722,250,acq
723,85,acq
724,111,acq
725,49,acq
726,365,acq
727,66,acq
728,52,acq
729,28,acq
730,102,acq
731,143,acq
732,196,acq
733,601,acq
734,55,acq
735,54,acq
736,78,acq
737,61,acq
738,466,acq
739,78,acq
740,83,acq
741,136,acq
742,127,acq
743,77,acq
744,451,acq
745,77,acq
746,389,acq
747,131,acq
748,131,acq
749,125,acq
750,208,acq
751,61,acq
752,126,acq
753,78,acq
754,122,acq
755,587,acq
756,264,acq
757,85,acq
758,250,acq
759,112,acq
760,352,acq
761,106,acq
762,61,acq
763,32,acq
764,133,acq
765,99,acq
766,106,acq
767,164,acq
768,80,acq
769,153,acq
770,156,acq
771,79,acq
772,59,acq
773,80,acq
774,34,acq
775,66,acq
776,189,acq
777,92,acq
778,492,acq
779,86,acq
780,103,acq
781,123,acq
782,80,acq
